Date,State,Humidity,Seasonality,Buffer Stock,Rainfall,Category,Price
2023-01-01,Andhra Pradesh,26.88,Rabi,137.09,19.95,Onion,28.62
2023-01-01,Andhra Pradesh,26.88,Rabi,137.09,19.95,Potato,21.05
2023-01-01,Andhra Pradesh,26.88,Rabi,137.09,19.95,Gram,64.46
2023-01-01,Andhra Pradesh,26.88,Rabi,137.09,19.95,Tur,72.19
2023-01-01,Andhra Pradesh,26.88,Rabi,137.09,19.95,Urad,65.78
2023-01-01,Andhra Pradesh,26.88,Rabi,137.09,19.95,Moong,70.52
2023-01-01,Andhra Pradesh,26.88,Rabi,137.09,19.95,Masur,52.44
2023-01-02,Andhra Pradesh,69.49,Rabi,804.94,34.35,Onion,32.31
2023-01-02,Andhra Pradesh,69.49,Rabi,804.94,34.35,Potato,21.35
2023-01-02,Andhra Pradesh,69.49,Rabi,804.94,34.35,Gram,60.34
2023-01-02,Andhra Pradesh,69.49,Rabi,804.94,34.35,Tur,68.09
2023-01-02,Andhra Pradesh,69.49,Rabi,804.94,34.35,Urad,65.79
2023-01-02,Andhra Pradesh,69.49,Rabi,804.94,34.35,Moong,81.61
2023-01-02,Andhra Pradesh,69.49,Rabi,804.94,34.35,Masur,50.89
2023-01-03,Andhra Pradesh,86.7,Rabi,2785.35,12.54,Onion,30.18
2023-01-03,Andhra Pradesh,86.7,Rabi,2785.35,12.54,Potato,18.33
2023-01-03,Andhra Pradesh,86.7,Rabi,2785.35,12.54,Gram,60.53
2023-01-03,Andhra Pradesh,86.7,Rabi,2785.35,12.54,Tur,60.79
2023-01-03,Andhra Pradesh,86.7,Rabi,2785.35,12.54,Urad,64.06
2023-01-03,Andhra Pradesh,86.7,Rabi,2785.35,12.54,Moong,82.03
2023-01-03,Andhra Pradesh,86.7,Rabi,2785.35,12.54,Masur,45.85
2023-01-04,Andhra Pradesh,36.32,Rabi,2571.44,13.14,Onion,21.58
2023-01-04,Andhra Pradesh,36.32,Rabi,2571.44,13.14,Potato,20.26
2023-01-04,Andhra Pradesh,36.32,Rabi,2571.44,13.14,Gram,49.81
2023-01-04,Andhra Pradesh,36.32,Rabi,2571.44,13.14,Tur,67.01
2023-01-04,Andhra Pradesh,36.32,Rabi,2571.44,13.14,Urad,68.74
